Source;Date;Time;Model;Type;Study Date Range;Study Time Range;Longitude;Latitude;Unit
Vasari v1.0;24.06.2014;19:03;SolarRadiationToPanels_Sample.rvt;Average;"21.06.2010,21.06.2010";"Sunrise,Sunset";-71,0329971313477;42,2130012512207;BTU/ft²

Analysis point index;Insolation value;point x;point y;point z;normal x;normal y;normal z
60;40,0762737045288;-11,6219348235049;-4,6052525904127;32,7528236214037;0;-0,9955599;0,09413037
61;40,6841609649658;-11,6219348235049;-4,24092488181656;36,6060969886276;0;-0,9955599;0,09413037
62;41,3238057861328;-11,6219348235049;-3,87659717322041;40,4593703558516;0;-0,9955599;0,09413037
63;41,3238057861328;-11,6219348235049;-3,51226946462426;44,3126437230755;0;-0,9955599;0,09413037
64;41,3238057861328;-11,6219348235049;-3,14794175602811;48,1659170902995;0;-0,9955599;0,09413037
65;41,3238057861328;-11,6219348235049;-2,78361404743196;52,0191904575234;0;-0,9955599;0,09413037
66;41,3238057861328;-11,6219348235049;-2,41928633883582;55,8724638247474;0;-0,9955599;0,09413037
67;41,3238057861328;-11,6219348235049;-2,05495863023967;59,7257371919714;0;-0,9955599;0,09413037
68;41,3238057861328;-11,6219348235049;-1,69063092164352;63,5790105591953;0;-0,9955599;0,09413037
69;35,2265185852051;-7,65063673704467;-7,51987425918188;1,92663668361198;0;-0,9955599;0,09413037
70;35,4229554595947;-7,65063673704467;-7,15554655058574;5,77991005083594;0;-0,9955599;0,09413037
71;35,8210701370239;-7,65063673704467;-6,79121884198959;9,6331834180599;0;-0,9955599;0,09413037
72;36,3028679580688;-7,65063673704467;-6,42689113339344;13,4864567852839;0;-0,9955599;0,09413037
73;36,8656111602783;-7,65063673704467;-6,06256342479729;17,3397301525078;0;-0,9955599;0,09413037
74;37,6020620040894;-7,65063673704467;-5,69823571620115;21,1930035197318;0;-0,9955599;0,09413037
75;38,3712595825195;-7,65063673704467;-5,333908007605;25,0462768869557;0;-0,9955599;0,09413037
76;39,2393648757935;-7,65063673704467;-4,96958029900885;28,8995502541797;0;-0,9955599;0,09413037
77;40,1166097488403;-7,65063673704467;-4,6052525904127;32,7528236214037;0;-0,9955599;0,09413037
78;40,6899702453613;-7,65063673704467;-4,24092488181656;36,6060969886276;0;-0,9955599;0,09413037
79;41,3238057861328;-7,65063673704467;-3,87659717322041;40,4593703558516;0;-0,9955599;0,09413037
80;41,3238057861328;-7,65063673704467;-3,51226946462426;44,3126437230755;0;-0,9955599;0,09413037
81;41,3238057861328;-7,65063673704467;-3,14794175602811;48,1659170902995;0;-0,9955599;0,09413037
82;41,3238057861328;-7,65063673704467;-2,78361404743196;52,0191904575234;0;-0,9955599;0,09413037
83;41,3238057861328;-7,65063673704467;-2,41928633883582;55,8724638247474;0;-0,9955599;0,09413037
84;41,3238057861328;-7,65063673704467;-2,05495863023967;59,7257371919714;0;-0,9955599;0,09413037
85;41,3238057861328;-7,65063673704467;-1,69063092164352;63,5790105591953;0;-0,9955599;0,09413037
86;35,8427303848267;-3,67933865058441;-7,51987425918188;1,92663668361198;0;-0,9955599;0,09413037
87;36,0655798950195;-3,67933865058441;-7,15554655058574;5,77991005083594;0;-0,9955599;0,09413037
88;36,438974899292;-3,67933865058441;-6,79121884198959;9,6331834180599;0;-0,9955599;0,09413037
89;36,8879655227661;-3,67933865058441;-6,42689113339344;13,4864567852839;0;-0,9955599;0,09413037
90;37,3954673538208;-3,67933865058441;-6,06256342479729;17,3397301525078;0;-0,9955599;0,09413037
91;37,9324823608398;-3,67933865058441;-5,69823571620115;21,1930035197318;0;-0,9955599;0,09413037
