Graph,Node
RevitColor.ToDynamoColor,ReturnListOrSingleValue
RevitColor.ToDynamoColor,TurnIntoList
RevitUV.ToDynamoUV,ReturnListOrSingleValue
RevitUV.ToDynamoUV,TurnIntoList
Roof.CreationMethod,TurnIntoList
Roof.CreationMethod,ReturnListOrSingleValue
Roof.Kind,TurnIntoList
Roof.Kind,ReturnListOrSingleValue
Roof.SlabShapeByPoints,TurnIntoList
Roof.SlabShapeHasBeenModified,ReturnListOrSingleValue
Room.Boundaries,ReturnListOrSingleValue
Room.Boundaries,ReturnListOrSingleValue
Room.Boundaries,TurnIntoList
Room.Doors,TurnIntoList
Room.Doors,ReturnListOrSingleValue
Room.UnplacedByNameAndNumber,ReturnListOrSingleValue
Room.UnplacedByNameAndNumber,TurnIntoList
Room.UnplacedByNameAndNumber,TurnIntoList
Room.Windows,ReturnListOrSingleValue
Room.Windows,TurnIntoList
RoomSequence.ToDoorSequence,Element.ByID
RoomSequence.ToDoorSequence,Door.Rooms
RoomSequence.ToDoorSequence,TurnIntoList
RoomTag.SetType,TurnIntoList
RoomTag.SetType,ReturnListOrSingleValue
RoomTag.SetType,TurnIntoList
RoomTag.SetType,ReturnListOrSingleValue
Schedule.KeyScheduleParameterName,ReturnListOrSingleValue
Schedule.KeyScheduleParameterName,TurnIntoList
SelectionSet.ByElements,TurnIntoList
String.AlphanumericToMorse,List.MatchWithKeyValues
String.AlphanumericToMorse,List.FromString
String.BinaryToDecimal,ReturnListOrSingleValue
String.ContainsRegularExpression,TurnIntoList
String.ContainsRegularExpression,ReturnListOrSingleValue
String.FindRegularExpression,TurnIntoList
String.FindRegularExpression,ReturnListOrSingleValue
String.HexToDecimal,ReturnListOrSingleValue
String.MorseToAlphanumeric,List.MatchWithKeyValues
String.ReplaceRegularExpression,TurnIntoList
String.ReplaceRegularExpression,ReturnListOrSingleValue
String.SplitByRegularExpression,TurnIntoList
String.SplitByRegularExpression,ReturnListOrSingleValue
String.StartsWithRegularExpression,TurnIntoList
String.StartsWithRegularExpression,ReturnListOrSingleValue
StructuralFoundation.Kind,TurnIntoList
StructuralFoundation.Kind,ReturnListOrSingleValue
Surface.FilterByOrientation,Math.AlmostZero
Surface.FilterByOrientation,Vector.ZAxisNegative
Surface.IsPlanar,ReturnListOrSingleValue
Surface.IsPlanar,TurnIntoList
Switch,List.MatchWithKeyValues
Switch,TurnIntoList
TextElement.SetText,TurnIntoList
TextElement.SetText,TurnIntoList
Topography.IntersectionWithPlane,Mesh.IntersectionWithPlane
Vector.AltitudeAndAzimuth,Triangle.SolveByPoints
Vector.AltitudeAndAzimuth,Triangle.SolveByPoints
Vector.AltitudeAndAzimuth,Vector.ZAxisNegative
Vector.IsInPlane,Vector.IsParallelToPlane
Vector.IsInPlane,Point.IsOutOfPlane
Vector.IsOrthogonalToVector,Math.AlmostZero
Vector.IsParallelToPlane,Vector.IsOrthogonalToVector
View.CategoryIsVisible,TurnIntoList
View.CategoryIsVisible,TurnIntoList
View.CategoryIsVisible,ReturnListOrSingleValue
View.Duplicate,TurnIntoList
View.Duplicate,ReturnListOrSingleValue
View.DuplicateAsDependent,TurnIntoList
View.DuplicateAsDependent,ReturnListOrSingleValue
View.DuplicateWithDetailing,TurnIntoList
View.DuplicateWithDetailing,ReturnListOrSingleValue
View.OverrideElementTransparency,ReturnListOrSingleValue
View.OverrideElementTransparency,TurnIntoList
View.OverrideElementTransparency,ReturnListOrSingleValue
View.PermanentlyIsolateCategory,View.ConvertTemporaryHideIsolateToPermanent
View.PermanentlyIsolateCategory,View.TemporarilyIsolateCategory
View.PermanentlyIsolateCategory,TurnIntoList
View.PermanentlyIsolateElement,View.ConvertTemporaryHideIsolateToPermanent
View.PermanentlyIsolateElement,View.TemporarilyIsolateElement
View.PermanentlyIsolateElement,ReturnListOrSingleValue
View.PermanentlyIsolateElement,TurnIntoList
View.Phase,ReturnListOrSingleValue
View.Phase,TurnIntoList
View.ResetElementOverrides,ReturnListOrSingleValue
View.ResetElementOverrides,TurnIntoList
View.ResetElementOverrides,ReturnListOrSingleValue
View.ResizeCropBox,TurnIntoList
View.ResizeCropBox,ReturnListOrSingleValue
View.ResizeCropBox,ReturnListOrSingleValue
View.SetDetailLevel,ReturnListOrSingleValue
View.SetDetailLevel,ReturnListOrSingleValue
View.SetDetailLevel,TurnIntoList
View.TemporarilyIsolateCategory,TurnIntoList
View.TemporarilyIsolateElement,TurnIntoList
View.TemporarilyIsolateElement,ReturnListOrSingleValue
View.TemporarilyIsolateElement,ReturnListOrSingleValue
View.UsesViewFilters,TurnIntoList
View.UsesViewFilters,ReturnListOrSingleValue

